STATION;STATION_NAME;ELEVATION;LATITUDE;LONGITUDE;DATE;PRCP;Measurement Flag;Quality Flag;Source Flag;Time of Observation;TMAX;Measurement Flag;Quality Flag;Source Flag;Time of Observation;TMIN;Measurement Flag;Quality Flag;Source Flag;Time of Observation
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030214;0; ; ;s;9999;88; ; ;s;9999;-59; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030215;0; ; ;s;9999;124; ; ;s;9999;-24; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030216;0; ; ;s;9999;93; ; ;s;9999;-1; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030217;0; ; ;s;9999;75; ; ;s;9999;-15; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030218;0; ; ;s;9999;133; ; ;s;9999;-32; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030219;0; ; ;s;9999;103; ; ;s;9999;5; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030220;0; ; ;s;9999;58; ; ;s;9999;-32; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030221;17; ; ;s;9999;46; ; ;s;9999;10; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030222;8; ; ;s;9999;56; ; ;s;9999;15; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030223;0; ; ;s;9999;50; ; ;s;9999;-14; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030224;0; ; ;s;9999;41; ; ;s;9999;-25; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030225;4; ; ;s;9999;45; ; ;s;9999;-10; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030226;0; ; ;s;9999;83; ; ;s;9999;-8; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030227;0; ; ;s;9999;50; ; ;s;9999;-35; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030228;0; ; ;s;9999;68; ; ;s;9999;-18; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030301;0; ; ;s;9999;61; ; ;s;9999;-34; ; ;s;9999
